|          x           |          y           |          nx          |          ny          |          zx          |          zy          |          f           |          no          |         out          |
|   0000000000000101   |   0000000000000111   |   0000000000000000   |   0000000000000000   |   0000000000000001   |   0000000000000001   |   0000000000000001   |   0000000000000000   |   0000000000000000   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000001   |   0000000000000001   |   0000000000000001   |   0000000000000001   |   0000000000000001   |   0000000000000001   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000001   |   0000000000000001   |   0000000000000000   |   1111111111111111   |
|   0000000000000101   |   0000000000000111   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000000   |   0000000000000101   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000000   |   0000000000000000   |   0000000000000111   |
|   0000000000000101   |   0000000000000111   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   1111111111111010   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000000   |   0000000000000001   |   1111111111111000   |
|   0000000000000101   |   0000000000000111   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000001   |   0000000000000001   |   1111111111111011   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000001   |   1111111111111001   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000001   |   0000000000000001   |   0000000000000110   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000001   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000001   |   0000000000001000   |
|   0000000000000101   |   0000000000000111   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000001   |   0000000000000000   |   0000000000000100   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000110   |
|   0000000000000101   |   0000000000000111   |   0000000000000000   |   0000000000000000   |   0000000000000000   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000001100   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000000   |   0000000000000000   |   0000000000000000   |   0000000000000001   |   0000000000000001   |   1111111111111110   |
|   0000000000000101   |   0000000000000111   |   0000000000000000   |   0000000000000001   |   0000000000000000   |   0000000000000000   |   0000000000000001   |   0000000000000001   |   0000000000000010   |
|   0000000000000101   |   0000000000000111   |   0000000000000000   |   0000000000000000   |   0000000000000000   |   0000000000000000   |   0000000000000000   |   0000000000000000   |   0000000000000101   |
|   0000000000000101   |   0000000000000111   |   0000000000000001   |   0000000000000001   |   0000000000000000   |   0000000000000000   |   0000000000000000   |   0000000000000001   |   0000000000000111   |
